"","Council","","2013","2014","2015","2016","2017","2018","2019"
"58","East Ayrshire","Climate change is more of a problem for the future","24.6","23.8","19.2","20.3","26.9","21.1","20.4"
"59","East Ayrshire","Climate change is not really a problem","8.4","10.7","6.3","8.6","3.4","6.8","4.2"
"60","East Ayrshire","I'm still not convinced that climate change is happening","10.7","10.6","19.7","6.1","7.9","11.1","11"
"61","East Ayrshire","None of these","2.8","0.7","-","3.5","-","1.6","2.7"
"62","East Ayrshire","Don't know","10.1","8.7","7.3","9.2","0.6","2.8","1"
"63","East Ayrshire","All","100","100","100","100","100","100","100"
"64","East Ayrshire","Base","190","230","70","70","80","80","80"
"65","East Dunbartonshire","Climate change is an immediate and urgent problem","46.6","49.1","50.5","40.3","74.3","68.3","72.8"
"66","East Dunbartonshire","Climate change is more of a problem for the future","28.2","21.7","30.9","31.7","6.5","14.7","9.1"
"67","East Dunbartonshire","Climate change is not really a problem","3.6","4.9","4","15.3","1.6","3.8","-"
"68","East Dunbartonshire","I'm still not convinced that climate change is happening","11.2","15.8","4.6","3.2","5.4","2.3","4"
"69","East Dunbartonshire","None of these","2.4","1.3","3","2.3","-","-","0.5"
"70","East Dunbartonshire","Don't know","8","7.2","7.1","7.2","12.3","10.9","13.5"
"71","East Dunbartonshire","All","100","100","100","100","100","100","100"
"72","East Dunbartonshire","Base","250","220","80","80","80","80","90"
"73","East Lothian","Climate change is an immediate and urgent problem","48.3","46.7","42.8","52.5","68","74.3","65.1"
"74","East Lothian","Climate change is more of a problem for the future","26.6","24","33.4","33.8","19.3","14.6","24.2"
"75","East Lothian","Climate change is not really a problem","3","7","1.2","3.7","1.8","0.7","1.6"
"76","East Lothian","I'm still not convinced that climate change is happening","12.8","12.9","4.7","6.4","8.8","8","6.7"
"77","East Lothian","None of these","4.2","4.4","8.9","-","1.1","-","1.3"
"78","East Lothian","Don't know","5.1","4.8","9","3.6","1.1","2.4","0.9"
"79","East Lothian","All","100","100","100","100","100","100","100"
"80","East Lothian","Base","230","220","70","100","80","70","90"
"81","East Renfrewshire","Climate change is an immediate and urgent problem","41.5","51","35.9","66.2","83.5","76.2","72.5"
"82","East Renfrewshire","Climate change is more of a problem for the future","21.8","26","43.6","24.9","8.3","12.4","15"
"83","East Renfrewshire","Climate change is not really a problem","8.2","8.4","7.4","5.4","-","1.2","-"
"84","East Renfrewshire","I'm still not convinced that climate change is happening","22.7","8.8","8.4","2","7.2","4.2","5.7"
"85","East Renfrewshire","None of these","2.3","1.8","1.8","-","-","0.9","4.4"
"86","East Renfrewshire","Don't know","3.4","4.1","2.8","1.5","1","5.1","2.4"
"87","East Renfrewshire","All","100","100","100","100","100","100","100"
"88","East Renfrewshire","Base","260","220","80","60","70","80","70"
"89","Edinburgh, City of","Climate change is an immediate and urgent problem","53.4","58.7","62.5","64.7","81.2","79.8","71.9"
"90","Edinburgh, City of","Climate change is more of a problem for the future","24.4","22.4","22","21.6","11.3","10.8","17.9"
"91","Edinburgh, City of","Climate change is not really a problem","3.9","4.3","3.2","2.4","3.4","1.9","1.1"
"92","Edinburgh, City of","I'm still not convinced that climate change is happening","9.9","8.1","6.8","7.1","2.3","2.8","1.9"
"93","Edinburgh, City of","None of these","3.1","1.3","2.1","0.2","0.8","0.5","3.1"
"94","Edinburgh, City of","Don't know","5.3","5.2","3.4","4","1.1","4.2","4.2"
"95","Edinburgh, City of","All","100","100","100","100","100","100","100"
"96","Edinburgh, City of","Base","750","710","210","230","230","250","260"
"97","Falkirk","Climate change is an immediate and urgent problem","46.5","34.7","43.9","35.9","60.4","72.7","61.9"
"98","Falkirk","Climate change is more of a problem for the future","17.1","30.4","21.9","32","22.7","10.5","11.6"
"99","Falkirk","Climate change is not really a problem","7.4","9.7","3.6","14.1","6.1","1.1","5.9"
"100","Falkirk","I'm still not convinced that climate change is happening","14.5","10.5","7.4","10.5","4.9","-","7.5"
"101","Falkirk","None of these","3","1.7","4.3","1.4","-","5.5","4.3"
"102","Falkirk","Don't know","11.5","13.1","18.9","6.1","5.9","10.1","8.8"
"103","Falkirk","All","100","100","100","100","100","100","100"
"104","Falkirk","Base","240","260","80","80","80","50","50"
"105","Fife","Climate change is an immediate and urgent problem","43.1","46.8","55.5","53","55","67.8","74.2"
"106","Fife","Climate change is more of a problem for the future","26.9","24.3","20.8","26.3","22.9","17.6","13.5"
"107","Fife","Climate change is not really a problem","8.4","7.6","4.4","3.8","11.2","4.3","7.8"
"108","Fife","I'm still not convinced that climate change is happening","11.7","11.2","10.1","9.5","7","6.7","1"
"109","Fife","None of these","2.5","3.7","5.8","1.6","0.3","-","-"
"110","Fife","Don't know","7.4","6.3","3.4","5.9","3.6","3.7","3.4"
"111","Fife","All","100","100","100","100","100","100","100"
"112","Fife","Base","510","490","160","150","160","170","160"
"113","Glasgow City","Climate change is an immediate and urgent problem","49.5","40.8","55.1","57.8","61.7","67.5","68.5"
"114","Glasgow City","Climate change is more of a problem for the future","24.3","28.4","17.1","19.5","11.8","14.3","13.6"
"115","Glasgow City","Climate change is not really a problem","5.2","9.2","7.7","6.1","5.8","4.3","2.7"
"116","Glasgow City","I'm still not convinced that climate change is happening","9.4","7.7","6.4","5.3","4.7","3.2","4.6"
"117","Glasgow City","None of these","2.2","2.9","3.5","1.7","0.4","1.7","0.6"
"118","Glasgow City","Don't know","9.3","11","10.2","9.6","15.5","9","10"
"119","Glasgow City","All","100","100","100","100","100","100","100"
"120","Glasgow City","Base","910","950","260","270","260","290","280"
"121","Highland","Climate change is an immediate and urgent problem","43.2","45.2","48.1","55.9","60.2","59.3","60.2"
"122","Highland","Climate change is more of a problem for the future","25.7","26.5","30.5","17.9","21.2","23.6","14.8"
"123","Highland","Climate change is not really a problem","5.5","6.8","10.6","5.7","4.8","3.9","7.9"
"124","Highland","I'm still not convinced that climate change is happening","15.8","12.8","4.5","5.3","4.5","7.3","9.9"
"125","Highland","None of these","2.4","4.5","5.2","4.4","1.6","1.9","2.9"
"126","Highland","Don't know","7.4","4.4","1.1","10.6","7.7","4","4.4"
"127","Highland","All","100","100","100","100","100","100","100"
"128","Highland","Base","300","320","110","90","100","110","110"
"129","Inverclyde","Climate change is an immediate and urgent problem","39.2","37.1","49.3","50.1","52.3","65.9","58.5"
"130","Inverclyde","Climate change is more of a problem for the future","32.6","31.9","19.4","28.6","25.8","12.8","19.5"
"131","Inverclyde","Climate change is not really a problem","9.3","7.8","5","3.2","2.8","-","2.1"
"132","Inverclyde","I'm still not convinced that climate change is happening","10.6","15.5","15.1","12.2","7.8","11.7","8.9"
"133","Inverclyde","None of these","0.6","2.9","1","1.5","1.7","0.7","-"
"134","Inverclyde","Don't know","7.6","4.9","10.1","4.4","9.5","8.9","11.1"
"135","Inverclyde","All","100","100","100","100","100","100","100"
"136","Inverclyde","Base","250","250","100","80","90","70","70"
"137","Midlothian","Climate change is an immediate and urgent problem","43.5","51.9","59.3","55.7","76.4","59.7","65.9"
"138","Midlothian","Climate change is more of a problem for the future","27.4","29","18.8","23","17","19.3","11.7"
"139","Midlothian","Climate change is not really a problem","6.7","5.5","0.9","5.1","3.5","4","3.1"
"140","Midlothian","I'm still not convinced that climate change is happening","15.8","7.4","10.2","10","1.1","8.3","8.3"
"141","Midlothian","None of these","3.6","2.9","1.4","1.7","0.5","3.3","1.5"
"142","Midlothian","Don't know","3","3.3","9.4","4.5","1.6","5.4","9.4"
"143","Midlothian","All","100","100","100","100","100","100","100"
"144","Midlothian","Base","240","190","60","100","80","70","90"
"145","Moray","Climate change is an immediate and urgent problem","46.4","40.2","39.9","53","59.1","48","65.1"
"146","Moray","Climate change is more of a problem for the future","19.4","23.4","24.8","5.8","14.3","25.9","19.7"
"147","Moray","Climate change is not really a problem","7.3","5.5","5.7","8","6.8","4.6","3.7"
"148","Moray","I'm still not convinced that climate change is happening","17.2","11.1","14.7","21.1","11.1","8.8","4.2"
"149","Moray","None of these","4.9","16.6","8.9","6.7","5.1","7.8","4.8"
"150","Moray","Don't know","4.7","3.2","6","5.5","3.6","4.9","2.5"
"151","Moray","All","100","100","100","100","100","100","100"
"152","Moray","Base","250","250","80","70","70","70","80"
"153","Na h-Eileanan Siar","Climate change is an immediate and urgent problem","46.3","38.9","63.7","51.3","42.4","52.8","31"
"154","Na h-Eileanan Siar","Climate change is more of a problem for the future","23.7","28","14.4","24.6","21.4","21.2","7.2"
"155","Na h-Eileanan Siar","Climate change is not really a problem","7.3","10.2","3.2","5.3","12","11.3","13.4"
"156","Na h-Eileanan Siar","I'm still not convinced that climate change is happening","17.1","16.9","15.2","14.1","21.9","10.2","42.8"
"157","Na h-Eileanan Siar","None of these","1.9","3.3","1.4","4.7","-","-","-"
"158","Na h-Eileanan Siar","Don't know","3.7","2.6","2","-","2.4","4.4","5.6"
"159","Na h-Eileanan Siar","All","100","100","100","100","100","100","100"
"160","Na h-Eileanan Siar","Base","280","270","90","80","110","100","90"
"161","North Ayrshire","Climate change is an immediate and urgent problem","40.8","45.4","37.9","44.5","41.7","67.5","63.2"
"162","North Ayrshire","Climate change is more of a problem for the future","24.1","31.7","33.8","30.1","35.7","11.7","12.4"
"163","North Ayrshire","Climate change is not really a problem","7.3","8.9","13.6","10","3.9","7.3","5.4"
"164","North Ayrshire","I'm still not convinced that climate change is happening","11.6","8.4","5.9","11.1","11.5","4.7","3.6"
"165","North Ayrshire","None of these","1.3","1.8","2","1.6","2.9","1.2","4.1"
"166","North Ayrshire","Don't know","14.9","3.9","6.9","2.7","4.4","7.6","11.3"
"167","North Ayrshire","All","100","100","100","100","100","100","100"
"168","North Ayrshire","Base","240","250","80","90","70","70","80"
"169","North Lanarkshire","Climate change is an immediate and urgent problem","48.5","37.3","36.9","47.4","58.4","57.5","70"
"170","North Lanarkshire","Climate change is more of a problem for the future","23.9","31","25.1","27.3","12.7","12.9","10.4"
"171","North Lanarkshire","Climate change is not really a problem","5.5","10.6","14.9","5.8","3.3","5.4","1.2"
"172","North Lanarkshire","I'm still not convinced that climate change is happening","12.3","13.7","10.4","10.2","9.7","5.4","5.6"
"173","North Lanarkshire","None of these","1.4","0.4","3","3.5","4.2","3.3","4.2"
"174","North Lanarkshire","Don't know","8.4","7","9.7","5.8","11.6","15.5","8.6"
"175","North Lanarkshire","All","100","100","100","100","100","100","100"
"176","North Lanarkshire","Base","430","450","150","140","130","150","150"
"177","Orkney Islands","Climate change is an immediate and urgent problem","41.2","45.1","47.5","48.9","51.9","40.7","60.9"
"178","Orkney Islands","Climate change is more of a problem for the future","30.8","28.9","20.3","25","24.1","28.2","22.4"
"179","Orkney Islands","Climate change is not really a problem","5.4","2.2","3.2","7.8","11.7","10.2","5.9"
"180","Orkney Islands","I'm still not convinced that climate change is happening","14.1","11.7","18.3","11.4","6.8","17","10.7"
"181","Orkney Islands","None of these","5.7","4.6","0.7","2","1.7","-","-"
"182","Orkney Islands","Don't know","2.8","7.5","10","4.9","3.7","3.9","-"
"183","Orkney Islands","All","100","100","100","100","100","100","100"
"184","Orkney Islands","Base","280","270","90","90","90","80","90"
"185","Perth & Kinross","Climate change is an immediate and urgent problem","46.3","48.7","49.3","65.2","64.3","57","79.1"
"186","Perth & Kinross","Climate change is more of a problem for the future","21.8","22.7","26.5","21.4","24","19","11"
"187","Perth & Kinross","Climate change is not really a problem","8.7","10.7","2.9","4.8","1.7","6.1","-"
"188","Perth & Kinross","I'm still not convinced that climate change is happening","17.2","9.6","16.9","7","7.8","9.7","7.4"
"189","Perth & Kinross","None of these","2.5","3.9","1.7","0.8","-","0.9","1.8"
"190","Perth & Kinross","Don't know","3.5","4.3","2.8","0.8","2.3","7.3","0.7"
"191","Perth & Kinross","All","100","100","100","100","100","100","100"
"192","Perth & Kinross","Base","270","250","80","60","80","70","60"
"193","Renfrewshire","Climate change is an immediate and urgent problem","47.3","47.8","50","60.7","55.9","68.2","74.1"
"194","Renfrewshire","Climate change is more of a problem for the future","31.5","28.7","20.4","19.5","17.4","17","7.7"
"195","Renfrewshire","Climate change is not really a problem","6","8.6","8","4.5","5.3","5.9","1.5"
"196","Renfrewshire","I'm still not convinced that climate change is happening","6.3","10.4","7.5","5.6","9.5","7.1","3.1"
"197","Renfrewshire","None of these","1.1","1.7","4","2.6","2.8","-","-"
"198","Renfrewshire","Don't know","7.8","2.8","10.1","7","9.1","1.8","13.7"
"199","Renfrewshire","All","100","100","100","100","100","100","100"
"200","Renfrewshire","Base","270","250","100","90","80","80","80"
"201","Scotland","Climate change is an immediate and urgent problem","45.7","45.3","49.6","54.9","61","64.5","68.4"
"202","Scotland","Climate change is more of a problem for the future","24.9","26.3","23.2","22.5","17.8","15.6","14"
"203","Scotland","Climate change is not really a problem","6.6","7.9","6.7","5.8","4.9","4.3","3.4"
"204","Scotland","I'm still not convinced that climate change is happening","13","11.4","10.6","8.8","8.2","7.3","5.6"
"205","Scotland","None of these","2.7","2.7","3","2.1","1","1.3","1.9"
"206","Scotland","Don't know","7.2","6.4","7","5.9","7.1","7","6.8"
"207","Scotland","All","100","100","100","100","100","100","100"
"208","Scotland","Base","9920","9800","3100","3150","3160","3090","3100"
"209","Scottish Borders","Climate change is an immediate and urgent problem","42.9","42","40.5","59.1","44.3","56.7","64.5"
"210","Scottish Borders","Climate change is more of a problem for the future","26","33.2","32.8","25.6","31.9","18.9","19.7"
"211","Scottish Borders","Climate change is not really a problem","4.7","5.4","7.3","3.9","8.8","2.6","7"
"212","Scottish Borders","I'm still not convinced that climate change is happening","15.5","12.7","18.6","7.7","9","8.4","2"
"213","Scottish Borders","None of these","6.5","5.2","-","1.9","-","4","2.7"
"214","Scottish Borders","Don't know","4.3","1.5","0.8","1.8","6.1","9.5","4.1"
"215","Scottish Borders","All","100","100","100","100","100","100","100"
"216","Scottish Borders","Base","250","250","70","70","70","80","70"
"217","Shetland Islands","Climate change is an immediate and urgent problem","46.3","40.2","37.8","52.1","66","67.2","76.6"
"218","Shetland Islands","Climate change is more of a problem for the future","30.3","29.3","25.9","19.5","14.7","13.5","8.1"
"219","Shetland Islands","Climate change is not really a problem","10.2","6.2","3.9","12.3","3.5","5.4","3.5"
"220","Shetland Islands","I'm still not convinced that climate change is happening","9.1","16.2","29.3","5.5","6.7","5.1","4"
"221","Shetland Islands","None of these","2.2","4.4","1.2","6.4","5.9","-","4.6"
"222","Shetland Islands","Don't know","2","3.8","1.8","4.1","3.3","8.8","3.2"
"223","Shetland Islands","All","100","100","100","100","100","100","100"
"224","Shetland Islands","Base","260","260","80","90","70","70","70"
"225","South Ayrshire","Climate change is an immediate and urgent problem","43.5","44","41","42.2","59.7","57.6","71.2"
"226","South Ayrshire","Climate change is more of a problem for the future","29.3","26.3","33.6","27.2","22.9","27.7","14.1"
"227","South Ayrshire","Climate change is not really a problem","4.3","7.8","5.2","7.2","3.3","4.4","0.8"
"228","South Ayrshire","I'm still not convinced that climate change is happening","16.6","13.2","16.6","6.4","11.2","6.8","7.3"
"229","South Ayrshire","None of these","3.9","2.6","1.7","11.5","1.1","1.1","3.7"
"230","South Ayrshire","Don't know","2.3","6.1","1.8","5.4","1.8","2.4","2.9"
"231","South Ayrshire","All","100","100","100","100","100","100","100"
"232","South Ayrshire","Base","250","250","90","80","80","60","80"
"233","South Lanarkshire","Climate change is an immediate and urgent problem","38.5","41.2","53.7","59.7","57.4","69.4","62.2"
"234","South Lanarkshire","Climate change is more of a problem for the future","25.5","31.5","17.5","22.4","15.4","13.3","14.4"
"235","South Lanarkshire","Climate change is not really a problem","7.1","7.6","7.1","3.1","3.7","3.8","3.6"
"236","South Lanarkshire","I'm still not convinced that climate change is happening","17.8","13.7","13.3","7.9","13.9","6.1","6.5"
"237","South Lanarkshire","None of these","2.9","1.2","1.6","0.7","1.1","0.6","3.1"
"238","South Lanarkshire","Don't know","8.3","4.9","6.8","6.2","8.5","6.7","10.2"
"239","South Lanarkshire","All","100","100","100","100","100","100","100"
"240","South Lanarkshire","Base","420","410","130","130","140","130","140"
"241","Stirling","Climate change is an immediate and urgent problem","51.1","55.4","60.9","64.4","78.1","74.6","78.6"
"242","Stirling","Climate change is more of a problem for the future","26.3","24.5","13.6","14.1","12.3","11","12.8"
"243","Stirling","Climate change is not really a problem","4.7","2.2","2.9","3.9","2.1","0.9","1.2"
"244","Stirling","I'm still not convinced that climate change is happening","12.5","13.7","10.9","12","6.1","10.4","1.8"
"245","Stirling","None of these","1.7","1","4.5","1.3","-","-","1.6"
"246","Stirling","Don't know","3.8","3.1","7.2","4.3","1.3","3.1","4.1"
"247","Stirling","All","100","100","100","100","100","100","100"
"248","Stirling","Base","240","250","80","80","90","80","70"
"249","West Dunbartonshire","Climate change is an immediate and urgent problem","46.1","47.1","50.1","55","61.4","52.9","71.2"
"250","West Dunbartonshire","Climate change is more of a problem for the future","21.9","19.9","18.7","14.3","16.8","12.8","6.6"
"251","West Dunbartonshire","Climate change is not really a problem","6.2","1.2","6.5","0.8","1.4","7","3.7"
"252","West Dunbartonshire","I'm still not convinced that climate change is happening","11.4","16.5","12.4","12","5.2","13.4","2"
"253","West Dunbartonshire","None of these","2.1","4","3.7","-","-","-","6"
"254","West Dunbartonshire","Don't know","12.3","11.2","8.6","18.1","15.3","13.9","10.6"
"255","West Dunbartonshire","All","100","100","100","100","100","100","100"
"256","West Dunbartonshire","Base","270","280","90","100","80","70","80"
"257","West Lothian","Climate change is an immediate and urgent problem","46.7","46","30.6","43.9","53.5","67.5","67.1"
"258","West Lothian","Climate change is more of a problem for the future","20.5","29","29.9","29.3","21.1","16.1","12.7"
"259","West Lothian","Climate change is not really a problem","10.2","7.6","4","9","3","2.7","2.7"
"260","West Lothian","I'm still not convinced that climate change is happening","12.8","9.4","8.7","7","8.3","4.8","3.3"
"261","West Lothian","None of these","4.3","4.1","1.9","-","-","0.8","-"
"262","West Lothian","Don't know","5.6","3.9","24.9","10.8","14.2","8","14.3"
"263","West Lothian","All","100","100","100","100","100","100","100"
"264","West Lothian","Base","250","200","60","80","90","80","70"
