"","Year","Council","","20% most deprived","2","3","4","20% least deprived","All"
"27","2012","Scottish Borders","Vandalism / graffiti / damage to property","*","*","1.8","2.2","*","3.8"
"28","2012","Shetland Islands","Vandalism / graffiti / damage to property","-","*","4.6","2.7","*","3.8"
"29","2012","South Ayrshire","Vandalism / graffiti / damage to property","*","9.9","9","*","1.7","9.6"
"30","2012","South Lanarkshire","Vandalism / graffiti / damage to property","30.9","16.4","8.4","7.3","3.3","13.1"
"31","2012","Stirling","Vandalism / graffiti / damage to property","*","15.3","*","1.7","2.9","8.5"
"32","2012","West Dunbartonshire","Vandalism / graffiti / damage to property","27.6","18.4","16.7","*","*","19.3"
"33","2012","West Lothian","Vandalism / graffiti / damage to property","*","10.6","4.3","*","*","8.6"
"34","2012","Aberdeen City","Groups or individual harassing others","*","17.8","*","*","0.6","8.8"
"35","2012","Aberdeenshire","Groups or individual harassing others","*","*","2","-","1.4","3.7"
"36","2012","Angus","Groups or individual harassing others","*","10","7.5","3.1","*","6.6"
"37","2012","Argyll & Bute","Groups or individual harassing others","*","20.3","-","-","*","6.1"
"38","2012","Clackmannanshire","Groups or individual harassing others","31.8","13.9","22.4","*","*","15.9"
"39","2012","Dumfries & Galloway","Groups or individual harassing others","*","8.5","6.6","1.3","*","5.4"
"40","2012","Dundee City","Groups or individual harassing others","8.3","4","*","*","*","4.2"
"41","2012","East Ayrshire","Groups or individual harassing others","19.6","8.8","*","*","*","10.7"
"42","2012","East Dunbartonshire","Groups or individual harassing others","*","*","*","1.8","1.3","4.1"
"43","2012","East Lothian","Groups or individual harassing others","*","*","*","0.9","*","6.2"
"44","2012","East Renfrewshire","Groups or individual harassing others","*","*","*","*","2.5","3.6"
"45","2012","Edinburgh, City of","Groups or individual harassing others","28.2","9","10.8","8.8","4.3","9.7"
"46","2012","Falkirk","Groups or individual harassing others","*","6","-","*","*","6.4"
"47","2012","Fife","Groups or individual harassing others","20","11.4","9.8","5.3","4.9","10.4"
"48","2012","Glasgow City","Groups or individual harassing others","19.3","9.1","3.7","1.8","11.3","12.3"
"49","2012","Highland","Groups or individual harassing others","*","3.2","5.2","2","*","4.4"
"50","2012","Inverclyde","Groups or individual harassing others","6.4","*","*","*","*","3.9"
"51","2012","Midlothian","Groups or individual harassing others","*","20.9","7.6","*","*","11"
"52","2012","Moray","Groups or individual harassing others","*","*","5.9","5.2","*","7.5"
"53","2012","Na-h Eileanan Siar","Groups or individual harassing others","-","3.8","0.5","*","-","1.9"
"54","2012","North Ayrshire","Groups or individual harassing others","8.6","16.1","*","1.9","*","7.9"
"55","2012","North Lanarkshire","Groups or individual harassing others","20.7","15.2","5.8","*","*","12.3"
"56","2012","Orkney Islands","Groups or individual harassing others","-","7.2","*","-","*","1.7"
"57","2012","Perth & Kinross","Groups or individual harassing others","*","*","*","0.9","-","5.2"
"58","2012","Renfrewshire","Groups or individual harassing others","11.5","6.1","6.7","*","1.5","6.6"
"59","2012","Scotland","Groups or individual harassing others","18.4","11","6","3.4","2.7","8.3"
"60","2012","Scottish Borders","Groups or individual harassing others","*","*","3.6","6.9","*","6.2"
"61","2012","Shetland Islands","Groups or individual harassing others","-","*","5.6","-","*","2.8"
"62","2012","South Ayrshire","Groups or individual harassing others","*","9.7","9","*","-","7.8"
"63","2012","South Lanarkshire","Groups or individual harassing others","24.2","12.5","6.3","3.8","-","9.3"
"64","2012","Stirling","Groups or individual harassing others","*","8.4","*","6.6","0.7","5.9"
"65","2012","West Dunbartonshire","Groups or individual harassing others","17.2","10.4","3","*","*","9.7"
"66","2012","West Lothian","Groups or individual harassing others","*","13.6","5.1","*","*","8.7"
"67","2012","Aberdeen City","Drugs misuse","*","28.9","*","*","3.1","17.5"
"68","2012","Aberdeenshire","Drugs misuse","*","*","6.9","1.9","-","6.3"
"69","2012","Angus","Drugs misuse","*","25.4","12.4","3.3","*","11.5"
"70","2012","Argyll & Bute","Drugs misuse","*","18.8","3.9","2.9","*","10.6"
"71","2012","Clackmannanshire","Drugs misuse","31","20.4","19.3","*","*","17"
"72","2012","Dumfries & Galloway","Drugs misuse","*","22.2","12.4","2.5","*","12.8"
"73","2012","Dundee City","Drugs misuse","22.1","16.3","*","*","*","13.2"
"74","2012","East Ayrshire","Drugs misuse","40","18.4","*","*","*","22.7"
"75","2012","East Dunbartonshire","Drugs misuse","*","*","*","1.8","1.4","4.9"
"76","2012","East Lothian","Drugs misuse","*","*","*","8.6","*","9.3"
"77","2012","East Renfrewshire","Drugs misuse","*","*","*","*","3","3.6"
"78","2012","Edinburgh, City of","Drugs misuse","32.7","20.2","17.4","10.1","1","11.7"
"79","2012","Falkirk","Drugs misuse","*","4.8","2.7","*","*","5.2"
"80","2012","Fife","Drugs misuse","30.2","16.3","9.3","1.6","2.2","12.1"
"81","2012","Glasgow City","Drugs misuse","30.9","17.2","2.8","4.5","5.2","18.8"
"82","2012","Highland","Drugs misuse","*","8.2","6.3","5.4","*","8.5"
"83","2012","Inverclyde","Drugs misuse","20.4","*","*","*","*","10.3"
"84","2012","Midlothian","Drugs misuse","*","36.7","16","*","*","22.2"
"85","2012","Moray","Drugs misuse","*","*","6","2.9","*","8.4"
"86","2012","Na-h Eileanan Siar","Drugs misuse","-","3","-","*","-","1.5"
"87","2012","North Ayrshire","Drugs misuse","29","23.4","*","6.3","*","17.7"
"88","2012","North Lanarkshire","Drugs misuse","34.3","16.8","10.4","*","*","18.4"
"89","2012","Orkney Islands","Drugs misuse","-","8.4","*","0.5","*","1.9"
"90","2012","Perth & Kinross","Drugs misuse","*","*","*","10.6","4.2","14.4"
"91","2012","Renfrewshire","Drugs misuse","17","9.7","6.3","*","-","8.5"
"92","2012","Scotland","Drugs misuse","31.4","17.4","9","5","1.9","12.9"
"93","2012","Scottish Borders","Drugs misuse","*","*","6.9","4.6","*","9"
"94","2012","Shetland Islands","Drugs misuse","-","*","10.2","8.4","*","9.4"
"95","2012","South Ayrshire","Drugs misuse","*","10.4","8.9","*","-","8.9"
"96","2012","South Lanarkshire","Drugs misuse","34.1","21.6","9.2","2.1","-","13.6"
"97","2012","Stirling","Drugs misuse","*","25.5","*","7.3","7","14.3"
"98","2012","West Dunbartonshire","Drugs misuse","39.1","20.3","9.3","*","*","22.3"
"99","2012","West Lothian","Drugs misuse","*","6.8","4.2","*","*","7.1"
"100","2012","Aberdeen City","Rowdy behaviour","*","23.5","*","*","6.4","18"
"101","2012","Aberdeenshire","Rowdy behaviour","*","*","5.5","3.2","3.4","5.1"
"102","2012","Angus","Rowdy behaviour","*","23.5","8.5","3.1","*","11.4"
"103","2012","Argyll & Bute","Rowdy behaviour","*","20.2","4.4","2.8","*","10.2"
"104","2012","Clackmannanshire","Rowdy behaviour","49.3","21.4","20.8","*","*","22.6"
"105","2012","Dumfries & Galloway","Rowdy behaviour","*","11.9","9.4","14.1","*","10.5"
"106","2012","Dundee City","Rowdy behaviour","13.3","13.1","*","*","*","11.7"
"107","2012","East Ayrshire","Rowdy behaviour","25.2","11.9","*","*","*","14.7"
"108","2012","East Dunbartonshire","Rowdy behaviour","*","*","*","6.1","1","5.9"
"109","2012","East Lothian","Rowdy behaviour","*","*","*","1.3","*","8.9"
"110","2012","East Renfrewshire","Rowdy behaviour","*","*","*","*","3.9","6.4"
"111","2012","Edinburgh, City of","Rowdy behaviour","40.4","18.6","28.7","29.6","11.5","21.7"
"112","2012","Falkirk","Rowdy behaviour","*","11.4","1.9","*","*","9.2"
"113","2012","Fife","Rowdy behaviour","31.2","16.7","11.1","3.6","5.4","13.8"
"114","2012","Glasgow City","Rowdy behaviour","32.4","21.2","8.1","10.9","17.2","22.9"
"115","2012","Highland","Rowdy behaviour","*","9.1","9.7","10.1","*","9.8"
"116","2012","Inverclyde","Rowdy behaviour","15","*","*","*","*","10.4"
"117","2012","Midlothian","Rowdy behaviour","*","35.4","14.7","*","*","20.3"
"118","2012","Moray","Rowdy behaviour","*","*","10.4","6.7","*","10.4"
"119","2012","Na-h Eileanan Siar","Rowdy behaviour","-","5.9","2.7","*","-","4.1"
"120","2012","North Ayrshire","Rowdy behaviour","17.9","24.8","*","8.3","*","15.6"
"121","2012","North Lanarkshire","Rowdy behaviour","32.7","20.8","9.9","*","*","19.6"
"122","2012","Orkney Islands","Rowdy behaviour","-","12.6","*","1.5","*","3.4"
"123","2012","Perth & Kinross","Rowdy behaviour","*","*","*","7","6.6","13.9"
"124","2012","Renfrewshire","Rowdy behaviour","22.5","9.5","11.2","*","1.5","11.7"
"125","2012","Scotland","Rowdy behaviour","29.3","17.3","11.2","8.8","6.3","14.5"
"126","2012","Scottish Borders","Rowdy behaviour","*","*","7.7","2.8","*","7.8"
"127","2012","Shetland Islands","Rowdy behaviour","-","*","6.5","4.9","*","5.7"
"128","2012","South Ayrshire","Rowdy behaviour","*","10.4","9","*","-","9.6"
"129","2012","South Lanarkshire","Rowdy behaviour","28","22","13.2","7","6.1","15.6"
"130","2012","Stirling","Rowdy behaviour","*","29.1","*","3.9","8.5","12.5"
"131","2012","West Dunbartonshire","Rowdy behaviour","33.7","11.2","3.9","*","*","15.8"
"132","2012","West Lothian","Rowdy behaviour","*","9.2","8.1","*","*","10"
"133","2012","Aberdeen City","Noisy neighbours/regular loud parties","*","16.7","*","*","4.6","11.8"
"134","2012","Aberdeenshire","Noisy neighbours/regular loud parties","*","*","5.9","8","4.3","7"
"135","2012","Angus","Noisy neighbours/regular loud parties","*","14.3","6.4","3.9","*","8.2"
"136","2012","Argyll & Bute","Noisy neighbours/regular loud parties","*","38.9","3.5","3.8","*","12.1"
"137","2012","Clackmannanshire","Noisy neighbours/regular loud parties","41","17","14.4","*","*","21"
"138","2012","Dumfries & Galloway","Noisy neighbours/regular loud parties","*","11.6","7.6","15.6","*","9.4"
"139","2012","Dundee City","Noisy neighbours/regular loud parties","14.1","13.1","*","*","*","15.4"
"140","2012","East Ayrshire","Noisy neighbours/regular loud parties","22.8","12.7","*","*","*","12.7"
"141","2012","East Dunbartonshire","Noisy neighbours/regular loud parties","*","*","*","4.7","2.7","4.1"
"142","2012","East Lothian","Noisy neighbours/regular loud parties","*","*","*","2.5","*","5.8"
"143","2012","East Renfrewshire","Noisy neighbours/regular loud parties","*","*","*","*","5.8","6.5"
"144","2012","Edinburgh, City of","Noisy neighbours/regular loud parties","30.2","17.9","24.6","12.6","7.7","15.5"
"145","2012","Falkirk","Noisy neighbours/regular loud parties","*","12.5","2.6","*","*","7.3"
"146","2012","Fife","Noisy neighbours/regular loud parties","22.1","12.5","9.1","5.1","5.8","11"
"147","2012","Glasgow City","Noisy neighbours/regular loud parties","23.2","17.2","13.1","7.7","16.2","18.2"
"148","2012","Highland","Noisy neighbours/regular loud parties","*","10.7","3.1","3.6","*","6.2"
"149","2012","Inverclyde","Noisy neighbours/regular loud parties","18.7","*","*","*","*","12.5"
"150","2012","Midlothian","Noisy neighbours/regular loud parties","*","27.5","1.5","*","*","12.1"
"151","2012","Moray","Noisy neighbours/regular loud parties","*","*","11.2","4.5","*","9.7"
"152","2012","Na-h Eileanan Siar","Noisy neighbours/regular loud parties","-","3.8","2.8","*","-","3.2"
"153","2012","North Ayrshire","Noisy neighbours/regular loud parties","11.7","8.6","*","17","*","10.3"
"154","2012","North Lanarkshire","Noisy neighbours/regular loud parties","25.2","15.6","7.3","*","*","14.2"
"155","2012","Orkney Islands","Noisy neighbours/regular loud parties","-","10.8","*","3.6","*","5"
"156","2012","Perth & Kinross","Noisy neighbours/regular loud parties","*","*","*","6.8","7.2","12.7"
"157","2012","Renfrewshire","Noisy neighbours/regular loud parties","17.8","6.4","5.8","*","-","8.3"
"158","2012","Scotland","Noisy neighbours/regular loud parties","22.6","14.2","9.4","6.7","5.3","11.6"
"159","2012","Scottish Borders","Noisy neighbours/regular loud parties","*","*","6.2","2.7","*","5.6"
"160","2012","Shetland Islands","Noisy neighbours/regular loud parties","-","*","5.4","3.2","*","4.6"
"161","2012","South Ayrshire","Noisy neighbours/regular loud parties","*","14.4","4.8","*","-","9.1"
"162","2012","South Lanarkshire","Noisy neighbours/regular loud parties","20.8","14.8","10.3","5","7.6","11.8"
"163","2012","Stirling","Noisy neighbours/regular loud parties","*","12.1","*","1.2","4","5.5"
"164","2012","West Dunbartonshire","Noisy neighbours/regular loud parties","26.4","11.3","14.3","*","*","16.1"
"165","2012","West Lothian","Noisy neighbours/regular loud parties","*","8.1","8.7","*","*","10.2"
"166","2012","Aberdeen City","Neighbour disputes","*","7.4","*","*","2.3","6.6"
"167","2012","Aberdeenshire","Neighbour disputes","*","*","2.9","2.5","2","2.9"
"168","2012","Angus","Neighbour disputes","*","8.7","6.4","4.1","*","5.7"
"169","2012","Argyll & Bute","Neighbour disputes","*","25.6","5.4","0.7","*","9.6"
"170","2012","Clackmannanshire","Neighbour disputes","26.3","9.7","12.6","*","*","12.3"
"171","2012","Dumfries & Galloway","Neighbour disputes","*","17.1","5.2","0.7","*","7.4"
"172","2012","Dundee City","Neighbour disputes","8","1.1","*","*","*","3.8"
"173","2012","East Ayrshire","Neighbour disputes","18","4.7","*","*","*","8.5"
"174","2012","East Dunbartonshire","Neighbour disputes","*","*","*","1.8","2.5","3.5"
"175","2012","East Lothian","Neighbour disputes","*","*","*","3.3","*","4.1"
"176","2012","East Renfrewshire","Neighbour disputes","*","*","*","*","0.7","4.2"
"177","2012","Edinburgh, City of","Neighbour disputes","25.1","9","10.1","7.9","4","8.9"
"178","2012","Falkirk","Neighbour disputes","*","2.6","1.7","*","*","2.2"
"179","2012","Fife","Neighbour disputes","14.7","8.4","2.1","6.8","4.3","7.3"
"180","2012","Glasgow City","Neighbour disputes","12.3","5","3.4","6.2","0.8","7.8"
"181","2012","Highland","Neighbour disputes","*","3.1","4.4","2.8","*","4"
"182","2012","Inverclyde","Neighbour disputes","4.6","*","*","*","*","3.4"
"183","2012","Midlothian","Neighbour disputes","*","9.5","2.7","*","*","7.5"
"184","2012","Moray","Neighbour disputes","*","*","3.5","3.5","*","4.4"
"185","2012","Na-h Eileanan Siar","Neighbour disputes","-","3.2","2.9","*","-","3"
"186","2012","North Ayrshire","Neighbour disputes","7","6.1","*","6","*","5.9"
"187","2012","North Lanarkshire","Neighbour disputes","13.2","9.1","5.6","*","*","8.3"
"188","2012","Orkney Islands","Neighbour disputes","-","3.3","*","0.8","*","1.5"
"189","2012","Perth & Kinross","Neighbour disputes","*","*","*","3.8","2","6.7"
"190","2012","Renfrewshire","Neighbour disputes","8.3","5.3","1.9","*","1.5","4"
"191","2012","Scotland","Neighbour disputes","13.7","7.6","4.7","4.1","2.4","6.5"
"192","2012","Scottish Borders","Neighbour disputes","*","*","1.8","5.9","*","3.3"
"193","2012","Shetland Islands","Neighbour disputes","-","*","4.9","0.7","*","2.7"
"194","2012","South Ayrshire","Neighbour disputes","*","5.5","6.3","*","1.7","4.6"
"195","2012","South Lanarkshire","Neighbour disputes","17.1","7","6.4","3.7","7.6","8"
"196","2012","Stirling","Neighbour disputes","*","7.3","*","4.3","-","3.8"
"197","2012","West Dunbartonshire","Neighbour disputes","17.1","7.6","3.8","*","*","9.1"
"198","2012","West Lothian","Neighbour disputes","*","11.3","6.5","*","*","9.6"
"199","2012","Aberdeen City","Rubbish / litter lying around","*","61.5","*","*","12.2","34.2"
"200","2012","Aberdeenshire","Rubbish / litter lying around","*","*","18.2","18.9","14.9","20.1"
"201","2012","Angus","Rubbish / litter lying around","*","46.8","27.9","19.8","*","27.7"
"202","2012","Argyll & Bute","Rubbish / litter lying around","*","38.9","17.7","12.7","*","22.7"
"203","2012","Clackmannanshire","Rubbish / litter lying around","42.8","33.8","40","*","*","31.7"
"204","2012","Dumfries & Galloway","Rubbish / litter lying around","*","36.6","20.1","12.6","*","22.5"
"205","2012","Dundee City","Rubbish / litter lying around","30","23.1","*","*","*","24"
"206","2012","East Ayrshire","Rubbish / litter lying around","48.9","22.8","*","*","*","32.1"
"207","2012","East Dunbartonshire","Rubbish / litter lying around","*","*","*","23.8","14.3","20.7"
"208","2012","East Lothian","Rubbish / litter lying around","*","*","*","12.7","*","20.2"
"209","2012","East Renfrewshire","Rubbish / litter lying around","*","*","*","*","14.9","19.6"
"210","2012","Edinburgh, City of","Rubbish / litter lying around","45","48.6","51","50.8","22","37.7"
"211","2012","Falkirk","Rubbish / litter lying around","*","27.7","20","*","*","24.6"
"212","2012","Fife","Rubbish / litter lying around","37.6","33.1","27.7","17.6","13.1","26.1"
"213","2012","Glasgow City","Rubbish / litter lying around","51.5","50.4","33.6","26.3","44","45.2"
"214","2012","Highland","Rubbish / litter lying around","*","23.5","24.6","23.5","*","22.8"
"215","2012","Inverclyde","Rubbish / litter lying around","21.7","*","*","*","*","21.5"
"216","2012","Midlothian","Rubbish / litter lying around","*","50.9","43.5","*","*","39.3"
"217","2012","Moray","Rubbish / litter lying around","*","*","19.9","20.4","*","22.1"
"218","2012","Na-h Eileanan Siar","Rubbish / litter lying around","-","12.9","13.4","*","-","13.2"
"219","2012","North Ayrshire","Rubbish / litter lying around","31.7","20.3","*","10.8","*","21.2"
"220","2012","North Lanarkshire","Rubbish / litter lying around","36.8","27","27.1","*","*","26.2"
"221","2012","Orkney Islands","Rubbish / litter lying around","-","18.6","*","4.8","*","6.8"
"222","2012","Perth & Kinross","Rubbish / litter lying around","*","*","*","23","13.1","25.2"
"223","2012","Renfrewshire","Rubbish / litter lying around","37.9","31.3","26.3","*","14.8","26.2"
"224","2012","Scotland","Rubbish / litter lying around","43.5","35.1","27.9","22.8","16.7","29.2"
"225","2012","Scottish Borders","Rubbish / litter lying around","*","*","25.7","28.6","*","27.9"
"226","2012","Shetland Islands","Rubbish / litter lying around","-","*","13.3","14.6","*","14.9"
"227","2012","South Ayrshire","Rubbish / litter lying around","*","35.8","28.4","*","13.1","32"
"228","2012","South Lanarkshire","Rubbish / litter lying around","45.4","30.7","29","24.6","14.2","28.9"
"229","2012","Stirling","Rubbish / litter lying around","*","32.9","*","8.9","15.4","22.6"
"230","2012","West Dunbartonshire","Rubbish / litter lying around","49.7","30.1","39","*","*","37.3"
"231","2012","West Lothian","Rubbish / litter lying around","*","28.9","24.3","*","*","24.9"
"232","2012","Aberdeen City","Animal nuisance","*","42.6","*","*","21.6","30.3"
"233","2012","Aberdeenshire","Animal nuisance","*","*","22.2","12.4","20.2","20.9"
"234","2012","Angus","Animal nuisance","*","27.9","20.1","25.9","*","26.3"
"235","2012","Argyll & Bute","Animal nuisance","*","35.1","26.3","18.6","*","24.9"
"236","2012","Clackmannanshire","Animal nuisance","43.1","24.5","33.8","*","*","35.2"
"237","2012","Dumfries & Galloway","Animal nuisance","*","44.2","20.1","29","*","27.1"
"238","2012","Dundee City","Animal nuisance","23.9","25.4","*","*","*","20.3"
"239","2012","East Ayrshire","Animal nuisance","48.6","47.9","*","*","*","43"
"240","2012","East Dunbartonshire","Animal nuisance","*","*","*","28","19.8","26.8"
"241","2012","East Lothian","Animal nuisance","*","*","*","27.4","*","27.4"
"242","2012","East Renfrewshire","Animal nuisance","*","*","*","*","28","28.1"
"243","2012","Edinburgh, City of","Animal nuisance","49.8","56.6","33.9","46.2","21.8","35.8"
"244","2012","Falkirk","Animal nuisance","*","20.9","21","*","*","19.8"
"245","2012","Fife","Animal nuisance","44.2","25.3","25.2","16.8","19.8","26.4"
"246","2012","Glasgow City","Animal nuisance","48","35.1","30.5","22.1","34","38.7"
"247","2012","Highland","Animal nuisance","*","29.5","21.8","28.7","*","24.9"
"248","2012","Inverclyde","Animal nuisance","28.2","*","*","*","*","27.5"
"249","2012","Midlothian","Animal nuisance","*","47.8","30.8","*","*","34.6"
"250","2012","Moray","Animal nuisance","*","*","20.9","36.6","*","31.1"
"251","2012","Na-h Eileanan Siar","Animal nuisance","-","27.7","16.8","*","-","21.7"
"252","2012","North Ayrshire","Animal nuisance","24.8","29","*","20.1","*","22.5"
"253","2012","North Lanarkshire","Animal nuisance","39.2","39.5","18.5","*","*","32.6"
"254","2012","Orkney Islands","Animal nuisance","-","25.6","*","19.4","*","18.6"
"255","2012","Perth & Kinross","Animal nuisance","*","*","*","20.7","18.9","24.1"
"256","2012","Renfrewshire","Animal nuisance","34.4","25.3","24.2","*","12","23.4"
"257","2012","Scotland","Animal nuisance","42.6","35.1","25.5","24","21.4","29.7"
"258","2012","Scottish Borders","Animal nuisance","*","*","26.1","20.7","*","24.8"
"259","2012","Shetland Islands","Animal nuisance","-","*","11","15.1","*","14.2"
"260","2012","South Ayrshire","Animal nuisance","*","43.8","35.2","*","24.1","37.6"
"261","2012","South Lanarkshire","Animal nuisance","45.3","31.4","27.6","20.4","32.3","30.9"
"262","2012","Stirling","Animal nuisance","*","41.5","*","11.1","15.8","24.9"
"263","2012","West Dunbartonshire","Animal nuisance","53.3","29.9","33.7","*","*","37"
"264","2012","West Lothian","Animal nuisance","*","30.5","33.6","*","*","29.2"
"265","2012","Aberdeen City","Abandoned/burnt out vehicles","*","1.3","*","*","1.1","2.2"
"266","2012","Aberdeenshire","Abandoned/burnt out vehicles","-","-","-","-","-","-"
"267","2012","Angus","Abandoned/burnt out vehicles","*","1.1","-","-","*","0.2"
"268","2012","Argyll & Bute","Abandoned/burnt out vehicles","*","-","2.1","-","*","0.8"
"269","2012","Clackmannanshire","Abandoned/burnt out vehicles","5","1.2","3.2","*","*","2.2"
"270","2012","Dumfries & Galloway","Abandoned/burnt out vehicles","-","-","-","-","-","-"
"271","2012","Dundee City","Abandoned/burnt out vehicles","-","-","-","-","-","-"
"272","2012","East Ayrshire","Abandoned/burnt out vehicles","3","1.2","*","*","*","1.8"
"273","2012","East Dunbartonshire","Abandoned/burnt out vehicles","*","*","*","1.8","-","0.4"
"274","2012","East Lothian","Abandoned/burnt out vehicles","*","*","*","-","*","0.3"
"275","2012","East Renfrewshire","Abandoned/burnt out vehicles","*","*","*","*","0.7","0.7"
"276","2012","Edinburgh, City of","Abandoned/burnt out vehicles","8.4","2.2","2.5","1.5","0.5","2.2"
"277","2012","Falkirk","Abandoned/burnt out vehicles","-","-","-","-","-","-"
"278","2012","Fife","Abandoned/burnt out vehicles","4.2","0.7","-","1.5","0.6","1.4"
"279","2012","Glasgow City","Abandoned/burnt out vehicles","2.5","1","-","-","-","1.3"
"280","2012","Highland","Abandoned/burnt out vehicles","*","1.7","-","-","*","0.9"
"281","2012","Inverclyde","Abandoned/burnt out vehicles","1.1","*","*","*","*","0.5"
"282","2012","Midlothian","Abandoned/burnt out vehicles","*","1.3","-","*","*","0.4"
"283","2012","Moray","Abandoned/burnt out vehicles","*","*","-","-","*","0.5"
"284","2012","Na-h Eileanan Siar","Abandoned/burnt out vehicles","-","3.4","4.1","*","-","3.7"
"285","2012","North Ayrshire","Abandoned/burnt out vehicles","-","-","-","-","-","-"
"286","2012","North Lanarkshire","Abandoned/burnt out vehicles","2","0.8","0.6","*","*","1"
"287","2012","Orkney Islands","Abandoned/burnt out vehicles","-","1.1","*","-","*","0.2"
"288","2012","Perth & Kinross","Abandoned/burnt out vehicles","*","*","*","-","1.7","1.3"
"289","2012","Renfrewshire","Abandoned/burnt out vehicles","1.5","-","0.8","*","-","0.6"
"290","2012","Scotland","Abandoned/burnt out vehicles","2.9","1","0.6","0.4","0.3","1"
"291","2012","Scottish Borders","Abandoned/burnt out vehicles","*","*","0.7","2.6","*","1.3"
"292","2012","Shetland Islands","Abandoned/burnt out vehicles","-","*","0.5","1.5","*","1"
"293","2012","South Ayrshire","Abandoned/burnt out vehicles","*","-","-","*","-","0.2"
"294","2012","South Lanarkshire","Abandoned/burnt out vehicles","-","0.5","-","-","-","0.1"
"295","2012","Stirling","Abandoned/burnt out vehicles","*","0.9","*","1.1","1.2","1"
"296","2012","West Dunbartonshire","Abandoned/burnt out vehicles","7.4","5.7","-","*","*","4.3"
"297","2012","West Lothian","Abandoned/burnt out vehicles","*","2.4","1.5","*","*","1.4"
"298","2012","Aberdeen City","Base","50","60","50","40","110","300"
"299","2012","Aberdeenshire","Base","0","30","70","110","90","310"
"300","2012","Angus","Base","10","50","70","90","30","250"
"301","2012","Argyll & Bute","Base","20","50","90","70","20","250"
"302","2012","Clackmannanshire","Base","70","50","60","40","30","260"
"303","2012","Dumfries & Galloway","Base","20","50","100","50","20","240"
"304","2012","Dundee City","Base","90","60","30","30","40","250"
"305","2012","East Ayrshire","Base","80","70","20","30","20","220"
"306","2012","East Dunbartonshire","Base","10","50","20","60","120","260"
"307","2012","East Lothian","Base","10","50","50","90","40","240"
"308","2012","East Renfrewshire","Base","10","20","20","40","130","210"
"309","2012","Edinburgh, City of","Base","90","100","120","120","280","720"
"310","2012","Falkirk","Base","40","80","50","40","40","240"
"311","2012","Fife","Base","110","100","100","90","80","480"
"312","2012","Glasgow City","Base","450","180","100","100","80","910"
"313","2012","Highland","Base","20","60","100","80","30","290"
"314","2012","Inverclyde","Base","130","40","40","40","30","280"
"315","2012","Midlothian","Base","20","70","50","50","20","200"
"316","2012","Moray","Base","0","40","90","80","30","240"
"317","2012","Na-h Eileanan Siar","Base","-","110","140","10","-","260"
"318","2012","North Ayrshire","Base","110","70","50","50","20","300"
"319","2012","North Lanarkshire","Base","130","120","80","50","30","410"
